Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
38,4076057434;61,20038;100;850;343,2809;506,7681;0,80364;428,0978;267,133;61,8157;54,50571;363,8831;372,8476;False
38,6032516479;61,701;100;850;342,323;507,7252;0,80364;426,8928;266,3811;61,46819;54,1738;362,8589;372,8476;False
38,7972290039;62,20147;100;850;341,3191;508,7014;0,80364;425,6237;265,5892;61,10326;53,84471;361,7801;372,8476;False
38,9888202667;62,70211;100;850;340,2188;509,7575;0,80364;424,3432;264,7902;60,73616;53,51964;360,6917;372,8476;False
39,1792957306;63,2027;100;850;339,3;510,7409;0,80364;423,0903;264,0084;60,37804;53,19651;359,6268;372,8476;False
39,3685523987;63,70318;100;850;338,3791;511,7056;0,80364;421,8804;263,2534;60,0332;52,87548;358,5983;372,8476;False
39,5561988831;64,20376;100;850;337,4853;512,518;0,80364;420,6834;262,5065;59,69304;52,55717;357,5809;372,8476;False
39,7423862457;64,70404;100;850;336,4725;513,5556;0,80364;419,5163;261,7781;59,36226;52,24117;356,5888;372,8476;False
39,9272895813;65,20482;100;850;335,5021;514,4991;0,80364;418,3615;261,0576;59,03593;51,92757;355,6073;372,8476;False
40,1105827332;65,70523;100;850;334,5459;515,4966;0,80364;417,2095;260,3387;58,71124;51,61658;354,6281;372,8476;False
40,2924510956;66,20589;100;850;333,6384;516,3427;0,80364;416,0588;259,6207;58,38783;51,33224;353,65;372,8476;False
40,4732585907;66,70633;100;850;332,8997;517,1391;0,80364;414,9401;258,9226;58,07425;51,1394;352,6991;372,8476;False
40,6529880524;67,20691;100;850;331,9376;518,0755;0,80364;413,8001;258,2113;57,75559;50,94766;351,7301;372,8476;False
40,8320549011;67,70757;100;850;331,0404;518,9641;0,80364;412,722;257,5385;57,45505;50,75663;350,8138;372,8476;False
41,0099647522;68,20788;100;850;330,226;519,7849;0,80364;411,6185;256,8499;57,1482;50,56683;349,8757;372,8476;False
41,1873973846;68,70866;100;850;329,4569;520,5616;0,80364;410,5796;256,2017;56,86009;50,37765;348,9926;372,8476;False
41,3633262634;69,20914;100;850;328,3986;521,6063;0,80364;409,4873;255,5201;56,55796;50,18987;348,0642;372,8476;False
41,5388706207;69,70961;100;850;327,6897;522,3257;0,80364;408,4634;254,8811;56,27547;50,00262;347,1939;372,8476;False
41,7129249573;70,21003;100;850;326,7865;523,2565;0,80364;407,3558;254,19;55,97068;49,81694;346,2524;372,8476;False
41,8865192413;70,71075;100;850;325,8595;524,1315;0,80364;406,3163;253,5414;55,68541;49,63173;345,3689;372,8476;False
42,0596672058;71,21124;100;850;325,2047;524,8313;0,80364;405,3732;252,9529;55,4272;49,44708;344,5672;372,8476;False
42,2313766479;71,71197;100;850;324,3915;525,6271;0,80364;404,341;252,3088;55,14528;49,26389;343,6898;372,8476;False
42,4026260376;72,21339;100;850;323,5376;526,4791;0,80364;403,3427;251,6859;54,87334;49,08121;342,8413;372,8476;False
42,5723957062;72,71349;100;850;322,6038;527,421;0,80364;402,3286;251,0531;54,59775;48,90005;341,9793;372,8476;False
42,746831131;73,23013;100;850;321,896;528,152;0,80364;401,2795;250,3984;54,31337;48,71402;341,0876;372,8476;False
42,9153717041;73,73068;100;850;321,0898;528,9561;0,80364;400,3426;249,8138;54,06004;48,53421;340,2912;372,8476;False
43,082793045;74,23132;100;850;320,3498;529,6668;0,80364;399,3721;249,2082;53,79828;48,35561;339,4663;372,8476;False
43,2493904114;74,7317;100;850;319,6597;530,346;0,80364;398,4292;248,6198;53,54453;48,17792;338,6648;372,8476;False
43,4150608063;75,23228;100;850;318,78;531,2554;0,80364;397,4846;248,0304;53,29095;48,00115;337,8619;372,8476;False
43,5800239563;75,73302;100;850;318,0875;531,9555;0,80364;396,5405;247,4413;53,03809;47,82519;337,0594;372,8476;False
43,7441047668;76,23334;100;850;317,4719;532,5626;0,80364;395,6253;246,8702;52,79356;47,65017;336,2815;372,8476;False
43,907062912;76,73399;100;850;316,6343;533,3903;0,80364;394,6638;246,2702;52,53725;47,47632;335,4642;372,8476;False
44,0695987701;77,23454;100;850;316,008;533,994;0,80364;393,7701;245,7126;52,2996;47,30298;334,7046;372,8476;False
44,231420517;77,73499;100;850;315,23;534,8329;0,80364;392,9176;245,1806;52,07339;47,13028;333,9799;372,8476;False
44,3920475006;78,23566;100;850;314,5374;535,5002;0,80364;392,0027;244,6097;51,83116;46,95896;333,2023;372,8476;False
44,5518745422;78,73611;100;850;313,8156;536,2391;0,80364;391,112;244,0539;51,59589;46,78848;332,4452;372,8476;False
44,7112758636;79,23666;100;850;313,1354;536,8945;0,80364;390,2855;243,5381;51,37806;46,61843;331,7427;372,8476;False
44,8690876007;79,7373;100;850;312,3515;537,6171;0,80364;389,3493;242,954;51,13187;46,45005;330,9469;372,8476;False
45,0269748688;80,23784;100;850;311,7158;538,3223;0,80364;388,5472;242,4535;50,92141;46,28164;330,2651;372,8476;False
45,1834133148;80,73837;100;850;310,9854;539,0437;0,80364;387,663;241,9017;50,68992;46,11473;329,5136;372,8476;False
45,3392681122;81,23888;100;850;310,3801;539,6502;0,80364;386,8194;241,3753;50,46954;45,94851;328,7964;372,8476;False
45,4945083618;81,73924;100;850;309,7008;540,3223;0,80364;386,008;240,869;50,25802;45,78286;328,1068;372,8476;False
45,6487735748;82,23994;100;850;309,1081;540,9092;0,80364;385,1846;240,3552;50,04385;45,61837;327,4069;372,8476;False
45,8024688721;82,74086;100;850;308,3967;541,6397;0,80364;384,377;239,8513;49,83422;45,45438;326,7205;372,8476;False
45,959885788;83,25748;100;850;307,7491;542,2889;0,80364;383,5089;239,3096;49,60938;45,28647;325,9826;372,8476;False
46,1119743347;83,75841;100;850;307,1198;542,9499;0,80364;382,7127;238,8127;49,40361;45,12423;325,3058;372,8476;False
46,2628234863;84,25906;100;850;306,3954;543,5755;0,80364;381,8742;238,2895;49,18735;44,96327;324,593;372,8476;False
46,4134838104;84,75942;100;850;305,8768;544,1595;0,80364;381,1232;237,8209;48,99408;44,80258;323,9547;372,8476;False
